task_id,task_name,company,order_name,campaas,campaas_1,bu,bu_1,currency,amount_untaxed,fecha_pub,fecha_estimada,importe_linea
30355,Guada Pompei (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR04036,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-08-03 20:00:00,200000.0
30351,Guada Pompei (Reel Instagram),NEXT STEP ADVERTISING S.R.L.,AR04036,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,2026-06-02 18:00:00,False,250000.0
30342,Guada Pompei (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR04037,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-06-29 19:00:00,150000.0
30339,Guada Pompei (Reel Instagram),NEXT STEP ADVERTISING S.R.L.,AR04037,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-07-06 19:00:00,350000.0
30193,Cami Gordillo (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03787,False,Campañas,False,ZAS ARGENTINA,ARS,12500000.0,2026-06-19 13:00:00,False,400000.0
30188,Cami Gordillo (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03787,False,Campañas,False,ZAS ARGENTINA,ARS,12500000.0,False,2026-07-06 19:00:00,400000.0
30185,Cami Gordillo (Reel Collab),NEXT STEP ADVERTISING S.R.L.,AR03787,False,Campañas,False,ZAS ARGENTINA,ARS,12500000.0,False,2026-07-06 19:00:00,1400000.0
30180,Cami Gordillo (Derecho de imagen por 30 dias),NEXT STEP ADVERTISING S.R.L.,AR03787,False,Campañas,False,ZAS ARGENTINA,ARS,12500000.0,False,2026-07-06 19:00:00,600000.0
30177,Cami Gordillo (Exclusividad),NEXT STEP ADVERTISING S.R.L.,AR03787,False,Campañas,False,ZAS ARGENTINA,ARS,12500000.0,False,2026-07-06 19:00:00,600000.0
30151,Mateo Guasconi (3 Youtube Integración 1min),NEXT STEP ADVERTISING S.R.L.,AR04028,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-06-07 13:00:00,False,0.0
30147,Andres Losano (3 Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR04028,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-05-24 13:00:00,False,0.0
30143,Mateo Guasconi (3 Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR04028,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-05-25 13:00:00,False,0.0
30136,Mateo Guasconi (3 Reel Collab),NEXT STEP ADVERTISING S.R.L.,AR04028,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-05-29 13:00:00,False,0.0
30120,Mateo Guasconi (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03920,False,Campañas,False,ZAS ARGENTINA,USD,4800.0,2026-05-14 18:00:00,False,600.0
29949,Mateo Guasconi (Pauta 3 Historia por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03879,False,Campañas,False,ZAS ARGENTINA,ARS,25500000.0,False,2026-06-08 15:00:00,450000.0
